SKU;GRUPO;FAMILIA;TITULO;COLOR;URL_SKU1
1323573-400;BOTTOMS;JEANS;JEANS SKINNY, TIRO MEDIO, ÍNDIGO;ÍNDIGO;https://liolaweb.cl/223/1323573_1.jpg
2045022-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO, FRESA;FRESA;https://liolaweb.cl/223/2045022_1.jpg
2080011-400;OUTERWEAR;CHAQUETAS;CHAQUETA EFECTO CUERO,  COLOR NEGRO METALIZADO;NEGRO;https://liolaweb.cl/223/2080011_1.jpg
2380011-400;BOTTOMS;PANTALONES;JEANS PALAZZO, TIRO MEDIO, NEGRO;NEGRO;https://liolaweb.cl/223/2380011_1.jpg
2871011-400;PDA;POLERAS;POLERA APLICACIÓN STRASS, NEGRO;NEGRO;https://liolaweb.cl/223/2871011_1.jpg
2871023-400;PDA;POLERAS;POLERA APLICACIÓN STRASS, FUCSIA;FUCSIA;https://liolaweb.cl/223/2871023_1.jpg
2871211-400;PDA;POLERAS;POLERA APLICACIÓN STRASS, BLANCO;BLANCO;https://liolaweb.cl/223/2871211_1.jpg
2904011-400;PDA;TEJIDOS;CÁRDIGAN TEJIDO NEGRO, APLICACIÓN DE STRASS EN CUELLO;NEGRO;https://liolaweb.cl/223/2904011_1.jpg
2968011-400;PDA;POLERAS;POLERA CON ESTAMPADO, NEGRO , ALGODÓN SPANDEX;NEGRO;https://liolaweb.cl/223/2968011_1.jpg
3041011-400;PDA;TEJIDOS;CÁRDIGAN TEJIDO, NEGRO;NEGRO;https://liolaweb.cl/223/3041011_1.jpg
3800011-223;OUTERWEAR;ABRIGOS;ABRIGO LARGO ENTALLADO MUFLÓN NEGRO;NEGRO;https://liolaweb.cl/223/3800011_1.jpg
3800574-223;OUTERWEAR;ABRIGOS;ABRIGO LARGO ENTALLADO MUFLÓN OCÉANO;OCÉANO;https://liolaweb.cl/223/3800574_1.jpg
